Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-06-03 08:02 (-07),On Demand,Hannah Corbin,15,Cycling,Music,15 min Southern Rock Ride,2021-05-27 05:40 (-07),182,202,56%,72,21.11,5.28,267,,,
2021-06-03 08:18 (-07),On Demand,Hannah Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-11 07:00 (-07),,,,,,,14,,,
2021-06-03 08:27 (-07),On Demand,Chase Tucker,10,Strength,Upper Body,10 min Mood Upper Body: Confident,2021-05-26 07:45 (-07),,,,,,,51,,,
2021-06-11 10:09 (-07),On Demand,Bradley Rose,15,Cycling,Intervals,15 min HIIT Ride,2021-06-10 22:55 (-07),158,175,50%,71,18.78,4.69,231,,,
2021-06-12 13:26 (-07),On Demand,Robin Arzon,30,Cycling,Music,30 min Hamilton Ride,2020-10-14 16:24 (-07),141,78,49%,31,7.75,3.88,207,,,
2021-06-14 16:40 (-07),On Demand,Bradley Rose,10,Cycling,Climb,10 min Climb Ride,2021-06-10 06:22 (-07),139,231,64%,62,22.22,3.71,203,,,
2021-06-15 09:18 (-07),On Demand,Ben Alldis,10,Cycling,Climb,10 min Climb Ride,2021-05-10 00:01 (-07),138,229,58%,72,22.24,3.71,201,,,
2021-06-15 09:34 (-07),On Demand,Ben Alldis,10,Strength,Bodyweight,10 min Bodyweight Strength,2021-05-09 22:00 (-07),,,,,,,55,,,
2021-06-16 08:25 (-07),On Demand,Tunde Oyeneyin,10,Cycling,Climb,10 min Climb Ride,2021-06-07 06:00 (-07),132,220,59%,70,21.74,3.62,193,,,
2021-06-26 08:57 (-07),On Demand,Robin Arzon,30,Cycling,Music,30 min Hamilton Ride,2020-10-14 16:24 (-07),126,70,38%,30,7.52,3.76,185,,,
2021-07-03 09:10 (MST),On Demand,Ross Rayburn,5,Meditation,Emotions,5 min Energizing Meditation,2021-06-25 09:09 (MST),,,,,,,,,,
2021-07-14 09:15 (-07),On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,2021-07-12 06:00 (-07),87,144,44%,79,18.29,3.05,127,,,
2021-07-14 09:29 (-07),On Demand,Rad Lopez,20,Strength,Upper Body,20 min Chest & Back Strength,2021-07-09 07:00 (-07),,,,,,,109,,,
2021-08-18 11:30 (-04),On Demand,Adrian Williams,20,Strength,Bodyweight,20 min Bodyweight Strength,2021-08-12 09:05 (-04),,,,,,,57,,,
2021-08-27 08:39 (-07),On Demand,Robin Arzon,20,Cycling,Music,20 min AFO Ride: Daddy Yankee,2021-07-02 05:00 (-07),87,130,48%,62,15.38,2.86,127,,,
2021-09-02 08:16 (-07),On Demand,Sam Yo,20,Cycling,Intervals,20 min HIIT Ride,2021-07-14 23:28 (-07),75,114,42%,76,16.56,3.04,110,,,
2021-09-02 08:33 (-07),On Demand,Adrian Williams,10,Strength,Upper Body,10 min Chest & Back Strength,2021-09-02 06:13 (-07),,,,,,,44,,,
2021-09-21 08:33 (-07),On Demand,Kendall Toole,20,Cycling,Music,20 min 2000s Ride,2021-07-29 17:08 (-07),96,80,42%,40,9.66,3.22,140,,,
